Indicator Code: CG0590
"Indicator Name: Noncommunicable diseases"
Export date: 1/7/2023 3:12:17 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C00-C97, D00-D48, D55-D64 (minus D 64.9) D65-D89, E03-E07, E10-E34, E65-E88, F01-F99, G06-G98 (minus G14), H00-H61, H68-H93, I00-I99, J30-J98, K00-K92, L00-L98, M00-M99, N00-N64, N75-N98,  Q00-Q99,  R95, U07.0, X41, X42, X44, X45"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1996,All,Age65_69,[65-69],1449.00000000,91.53506001,,1891.64490860,
EU,Europe,ALB,Albania,1998,All,Age60_64,[60-64],981.00000000,89.18181818,,938.75598086,
EU,Europe,ALB,Albania,1999,All,Age70_74,[70-74],1657.00000000,90.15233950,,2775.54438860,
EU,Europe,ALB,Albania,2000,All,Age55_59,[55-59],573.00000000,86.03603604,,475.12437811,
EU,Europe,ALB,Albania,2001,All,Age55_59,[55-59],535.00000000,86.56957929,,445.33233446,
EU,Europe,ALB,Albania,2003,All,Age70_74,[70-74],2134.00000000,88.91666667,,3136.66696060,
EU,Europe,ALB,Albania,2005,All,Age55_59,[55-59],574.00000000,83.79562044,,439.99509413,
EU,Europe,ALB,Albania,2008,All,Age70_74,[70-74],1974.00000000,92.98162977,,2314.86367630,
EU,Europe,ALB,Albania,2009,All,Age70_74,[70-74],1846.00000000,92.06982544,,2088.49517470,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age65_69,[65-69],42.00000000,72.41379310,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age60_64,[60-64],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age70_74,[70-74],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age55_59,[55-59],57.00000000,86.36363636,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age65_69,[65-69],46.00000000,86.79245283,,,
EU,Europe,ALB,Albania,2005,All,Age65_69,[65-69],1453.00000000,88.59756098,,1418.73748960,
EU,Europe,ALB,Albania,2005,All,Age70_74,[70-74],2019.00000000,86.50385604,,2694.73066040,
EU,Europe,ALB,Albania,2007,All,Age55_59,[55-59],526.00000000,86.51315789,,363.72437161,
EU,Europe,ALB,Albania,2007,All,Age60_64,[60-64],692.00000000,87.37373737,,623.97994608,
EU,Europe,ALB,Albania,2007,All,Age65_69,[65-69],1206.00000000,91.78082192,,1119.82914710,
EU,Europe,ALB,Albania,2007,All,Age70_74,[70-74],1794.00000000,91.81166837,,2185.96546810,
EU,Europe,ALB,Albania,2008,All,Age55_59,[55-59],661.00000000,87.54966887,,448.27843448,
EU,Europe,ALB,Albania,2008,All,Age60_64,[60-64],762.00000000,91.25748503,,687.53947487,
EU,Europe,ALB,Albania,2008,All,Age65_69,[65-69],1389.00000000,93.97834912,,1245.04759690,
EU,Europe,ALB,Albania,2009,All,Age55_59,[55-59],603.00000000,87.64534884,,397.19656949,
EU,Europe,ALB,Albania,2009,All,Age60_64,[60-64],717.00000000,89.40149626,,622.33100719,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age65_69,[65-69],39.00000000,81.25000000,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age70_74,[70-74],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age55_59,[55-59],55.00000000,75.34246575,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age60_64,[60-64],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age65_69,[65-69],50.00000000,75.75757576,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age60_64,[60-64],38.00000000,86.36363636,,1964.83971040,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age65_69,[65-69],30.00000000,90.90909091,,2388.53503180,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age70_74,[70-74],27.00000000,84.37500000,,3708.79120880,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age55_59,[55-59],29.00000000,82.85714286,,1257.58889850,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age60_64,[60-64],32.00000000,88.88888889,,1654.60186140,
EU,Europe,ALB,Albania,1987,All,Age65_69,[65-69],1157.00000000,83.65871294,,1788.25347760,
EU,Europe,ALB,Albania,1988,All,Age60_64,[60-64],911.00000000,86.43263757,,1153.16455700,
EU,Europe,ALB,Albania,1989,All,Age55_59,[55-59],663.00000000,82.87500000,,646.82926829,
EU,Europe,ALB,Albania,1992,All,Age60_64,[60-64],1018.00000000,82.89902280,,1129.85571590,
EU,Europe,ALB,Albania,1993,All,Age55_59,[55-59],636.00000000,83.90501319,,544.05474765,
EU,Europe,ALB,Albania,1993,All,Age65_69,[65-69],931.00000000,84.71337580,,1287.69017980,
EU,Europe,ALB,Albania,1995,All,Age60_64,[60-64],933.00000000,88.51992410,,926.51439921,
EU,Europe,ALB,Albania,1995,All,Age70_74,[70-74],1563.00000000,89.16143754,,2722.99651570,
EU,Europe,ALB,Albania,1996,All,Age70_74,[70-74],1645.00000000,88.96700919,,2836.20689660,
EU,Europe,ALB,Albania,1997,All,Age55_59,[55-59],608.00000000,84.32732316,,475.37138389,
EU,Europe,ALB,Albania,1998,All,Age55_59,[55-59],614.00000000,84.57300275,,473.76543210,
EU,Europe,ALB,Albania,1998,All,Age65_69,[65-69],1369.00000000,90.48248513,,1743.94904460,
EU,Europe,ALB,Albania,1999,All,Age65_69,[65-69],1303.00000000,91.76056338,,1651.45754120,
EU,Europe,ALB,Albania,2009,All,Age65_69,[65-69],1247.00000000,93.47826087,,1108.86827850,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age60_64,[60-64],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age70_74,[70-74],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age55_59,[55-59],44.00000000,73.33333333,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age60_64,[60-64],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age55_59,[55-59],22.00000000,84.61538462,,1294.11764710,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age65_69,[65-69],25.00000000,71.42857143,,2777.77777780,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age55_59,[55-59],27.00000000,77.14285714,,1134.45378150,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age70_74,[70-74],41.00000000,77.35849057,,5216.28498730,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age65_69,[65-69],40.00000000,90.90909091,,2945.50810010,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age70_74,[70-74],51.00000000,82.25806452,,6007.06713780,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,All,Age55_59,[55-59],22.00000000,84.61538462,,1029.48058030,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,All,Age60_64,[60-64],29.00000000,87.87878788,,1545.01864680,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,All,Age65_69,[65-69],57.00000000,87.69230769,,4025.42372880,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,All,Age60_64,[60-64],28.00000000,87.50000000,,1530.89119740,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,All,Age65_69,[65-69],44.00000000,88.00000000,,2779.53253320,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,All,Age70_74,[70-74],47.00000000,87.03703704,,3986.42917730,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,All,Age60_64,[60-64],28.00000000,93.33333333,,1532.56704980,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,All,Age65_69,[65-69],41.00000000,85.41666667,,2556.10972570,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,All,Age70_74,[70-74],35.00000000,76.08695652,,2834.00809720,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,All,Age60_64,[60-64],27.00000000,93.10344828,,1481.07515090,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,All,Age65_69,[65-69],43.00000000,81.13207547,,2644.52644530,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,All,Age70_74,[70-74],41.00000000,73.21428571,,3193.14641740,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,All,Age55_59,[55-59],13.00000000,86.66666667,,704.98915401,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,All,Age55_59,[55-59],16.00000000,80.00000000,,880.57237204,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,All,Age55_59,[55-59],18.00000000,100.00000000,,1008.40336130,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,All,Age55_59,[55-59],15.00000000,88.23529412,,836.12040134,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age70_74,[70-74],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age55_59,[55-59],24.00000000,75.00000000,,1411.76470590,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age60_64,[60-64],27.00000000,81.81818182,,1928.57142860,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age65_69,[65-69],44.00000000,88.00000000,,4888.88888890,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age70_74,[70-74],29.00000000,82.85714286,,4142.85714290,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age70_74,[70-74],32.00000000,88.88888889,,4571.42857140,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age55_59,[55-59],28.00000000,87.50000000,,1191.99659430,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age60_64,[60-64],46.00000000,92.00000000,,2367.47297990,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age65_69,[65-69],53.00000000,91.37931034,,4058.19295560,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age70_74,[70-74],42.00000000,89.36170213,,5504.58715600,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,All,Age55_59,[55-59],22.00000000,88.00000000,,971.73144876,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,All,Age70_74,[70-74],50.00000000,84.74576271,,6031.36308810,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,All,Age55_59,[55-59],38.00000000,95.00000000,,1748.73446850,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,All,Age60_64,[60-64],33.00000000,89.18918919,,1748.80763120,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,All,Age65_69,[65-69],49.00000000,96.07843137,,3530.25936600,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,All,Age70_74,[70-74],63.00000000,87.50000000,,7142.85714290,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,All,Age55_59,[55-59],26.00000000,89.65517241,,1233.39658440,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,All,Age55_59,[55-59],22.00000000,84.61538462,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,All,Age60_64,[60-64],,,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age60_64,[60-64],36.00000000,85.71428571,,2400.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age65_69,[65-69],49.00000000,90.74074074,,3656.71641790,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,All,Age65_69,[65-69],24.00000000,92.30769231,,1767.30486010,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,All,Age55_59,[55-59],21.00000000,87.50000000,,940.43887147,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,All,Age65_69,[65-69],44.00000000,91.66666667,,3232.91697280,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age55_59,[55-59],21.00000000,87.50000000,,948.50948509,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,All,Age70_74,[70-74],49.00000000,89.09090909,,5366.92223440,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,All,Age60_64,[60-64],30.00000000,83.33333333,,1604.27807490,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,All,Age70_74,[70-74],39.00000000,86.66666667,,4140.12738850,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,All,Age55_59,[55-59],10.00000000,90.90909091,,521.10474205,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,All,Age55_59,[55-59],18.00000000,81.81818182,,961.53846154,
